OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,BedroomAbvGr,GarageCars,GarageArea,LotArea,Neighborhood,HouseStyle,Exterior,GarageType,SaleCondition,SalePrice
3,1242,1979,630,1,3,0,418,6895,Gilbert,2Story,MetalSd,None,Abnorml,259917
6,1254,1957,1041,3,2,0,118,,Gilbert,SFoyer,VinylSd,None,Normal,257696
3,1485,1954,567,2,2,0,292,4301,OldTown,2Story,BrkFace,Detchd,Normal,257999
8,1255,2015,1315,3,4,1,416,5851,OldTown,2Story,Wd Sdng,CarPort,Normal,463191
3,1179,1903,1071,3,3,2,369,8392,OldTown,SFoyer,BrkFace,,Normal,278824
4,1548,2019,,2,3,2,452,3685,OldTown,1.5Fin,Wd Sdng,,Normal,368496
6,1385,1923,1264,2,1,1,201,2830,NridgHt,1Story,VinylSd,Attchd,Normal,330507
6,2177,1933,890,1,5,2,367,3700,Crawfor,SFoyer,BrkFace,BuiltIn,Normal,417553
8,500,1929,1366,1,5,0,477,7891,CollgCr,SFoyer,HdBoard,Attchd,Normal,268435
9,1991,1981,621,3,1,2,452,7982,Crawfor,2Story,BrkFace,CarPort,Family,466165
4,2061,1918,1565,3,5,1,530,10455,Crawfor,2Story,VinylSd,BuiltIn,Normal,361754
5,567,1930,780,1,2,0,520,8236,CollgCr,1Story,MetalSd,Attchd,Partial,222472
3,1346,1959,322,1,5,1,377,10299,OldTown,2Story,MetalSd,Detchd,Normal,276030
7,1333,1959,869,2,5,3,472,7349,Crawfor,SLvl,BrkFace,None,Normal,341283
3,867,1918,823,1,1,0,306,12415,NridgHt,2Story,BrkFace,Attchd,Normal,182783
10,1150,1948,866,1,4,0,401,11760,OldTown,2Story,Wd Sdng,Attchd,Partial,376901
3,1000,1962,1093,3,5,2,260,7770,NridgHt,SLvl,VinylSd,Detchd,Partial,207719
5,2289,2009,1439,1,5,0,642,11440,BrkSide,1Story,Wd Sdng,CarPort,Normal,392233
3,1921,1982,923,3,4,1,401,8260,Crawfor,SLvl,HdBoard,Detchd,Normal,239717
4,2072,1921,723,1,1,2,642,4537,Edwards,SFoyer,MetalSd,Attchd,Normal,359598
4,1825,1923,549,2,4,3,506,13521,NridgHt,SLvl,Plywood,CarPort,Normal,312472
6,992,2008,813,1,1,1,291,5984,BrkSide,1.5Fin,Plywood,BuiltIn,Normal,280624
8,1264,1975,245,1,2,3,495,13456,Sawyer,SFoyer,,Attchd,Partial,329922
9,1720,1929,710,1,1,3,596,10413,Sawyer,2Story,VinylSd,Detchd,Normal,411890
7,950,1957,1498,3,2,3,436,8664,BrkSide,SFoyer,Plywood,BuiltIn,Normal,377019
10,1821,2001,671,2,2,0,463,3867,Somerst,1Story,VinylSd,None,Normal,449481
3,1392,2016,1251,1,1,1,351,17995,Somerst,1Story,MetalSd,BuiltIn,Normal,255491
3,1331,1930,509,3,3,1,454,7643,OldTown,SLvl,HdBoard,Detchd,Normal,198529
5,1820,1999,1708,2,1,0,493,11974,Somerst,SFoyer,HdBoard,BuiltIn,Normal,379021
8,1700,1963,1735,3,5,2,346,8550,Sawyer,2Story,Wd Sdng,Detchd,Partial,403693
4,1338,1918,1236,3,5,3,,7965,Somerst,1Story,MetalSd,Attchd,Normal,299207
7,2022,1947,1797,2,3,1,682,9816,Edwards,2Story,VinylSd,,Normal,421626
6,1014,1944,1142,1,2,0,559,9108,Sawyer,1.5Fin,VinylSd,None,Normal,294942
4,1777,1999,1307,3,3,3,351,7981,NridgHt,1Story,,,Normal,382809
10,1767,1993,1505,3,5,2,490,8779,Gilbert,SLvl,Wd Sdng,CarPort,Normal,433246
8,1361,1954,1072,1,3,2,184,10907,Somerst,1.5Fin,VinylSd,CarPort,Normal,311204
10,1647,2012,379,1,1,3,94,11260,Somerst,SFoyer,VinylSd,Detchd,Normal,425929
9,937,1954,1316,2,3,2,645,9177,Crawfor,2Story,MetalSd,Detchd,Partial,439888
6,1916,1996,811,2,2,1,491,11901,CollgCr,1Story,Wd Sdng,None,Normal,435861
9,1417,1917,841,2,1,1,441,7436,Edwards,1.5Fin,MetalSd,Detchd,Normal,439051
5,1265,1962,1119,1,4,1,492,24494,Sawyer,1.5Fin,BrkFace,Detchd,Family,289786
10,1972,2015,1227,3,5,2,1031,17562,Sawyer,1Story,VinylSd,Detchd,Normal,426221
5,1183,2012,1060,3,5,1,606,12684,NAmes,SFoyer,Plywood,Detchd,Abnorml,218819
3,866,1991,1254,2,3,0,262,3757,CollgCr,SFoyer,Plywood,Attchd,Normal,201099
9,800,1946,717,1,1,1,148,11822,Somerst,SLvl,BrkFace,None,Normal,324662
8,1773,1974,983,3,4,1,640,7735,BrkSide,SFoyer,VinylSd,Detchd,Partial,444402
10,924,1956,1340,2,1,2,604,5794,Crawfor,SLvl,Wd Sdng,None,Abnorml,429573
7,2290,2017,1709,3,5,1,554,7647,NridgHt,1.5Fin,Plywood,BuiltIn,Normal,459774
6,563,1944,1851,3,1,3,304,6090,Crawfor,1Story,Wd Sdng,Attchd,Normal,279865
4,2263,1932,1173,1,4,0,515,11305,Somerst,SFoyer,Plywood,Detchd,Normal,298153
8,1595,1916,1336,1,3,2,320,18623,NAmes,SLvl,Wd Sdng,Attchd,Partial,404279
8,1456,1969,1793,3,2,0,569,13052,Gilbert,1.5Fin,Plywood,Attchd,Normal,414602
5,1255,1903,732,2,1,3,627,31198,Sawyer,SFoyer,Wd Sdng,BuiltIn,Normal,305211
9,1680,1919,1252,1,2,2,352,4473,NridgHt,2Story,BrkFace,None,Normal,385359
10,1483,2011,1307,3,5,2,654,7167,CollgCr,1.5Fin,MetalSd,Attchd,Normal,476493
10,1996,1946,1579,1,3,1,471,5888,Somerst,SFoyer,Wd Sdng,CarPort,Normal,488372
3,1551,1990,545,1,3,0,539,15650,Edwards,1.5Fin,MetalSd,BuiltIn,Normal,211427
3,1568,1914,624,1,1,3,214,8150,BrkSide,1Story,MetalSd,CarPort,Abnorml,242489
6,1336,1969,1009,3,3,3,492,9801,Crawfor,1Story,VinylSd,BuiltIn,Normal,369862
5,1474,1946,1151,2,1,2,328,11970,NAmes,1Story,BrkFace,CarPort,Abnorml,313127
8,1639,1977,1449,2,1,1,535,4677,Gilbert,2Story,MetalSd,CarPort,Normal,461510
10,730,1974,1207,2,2,2,714,6805,OldTown,1Story,HdBoard,Attchd,Normal,402035
7,893,2002,939,1,3,2,502,14097,BrkSide,2Story,MetalSd,Attchd,Normal,311308
5,1834,1908,1167,3,1,2,288,7033,Somerst,1Story,,BuiltIn,Normal,339038
6,1577,1989,1120,1,2,2,563,4162,Gilbert,1.5Fin,MetalSd,None,Normal,362943
6,1417,1915,1698,2,4,3,522,5997,BrkSide,SFoyer,Wd Sdng,Attchd,Normal,336961
5,1508,1968,1066,2,2,3,821,7912,BrkSide,SFoyer,Wd Sdng,Attchd,Partial,306469
6,1656,2020,847,3,2,2,496,9701,Sawyer,1Story,HdBoard,Detchd,Partial,389394
5,1257,2015,1180,1,1,2,345,8718,BrkSide,SFoyer,MetalSd,Attchd,Normal,352910
4,1150,1960,1079,2,5,1,589,6827,Edwards,1Story,MetalSd,None,Partial,285147
5,1588,1909,372,3,5,2,427,13735,Gilbert,1Story,Plywood,Detchd,Normal,346406
9,1060,1949,994,1,5,3,464,8492,Somerst,SLvl,Plywood,CarPort,Normal,366578
5,1684,1902,960,1,2,0,283,9889,Somerst,SLvl,VinylSd,CarPort,Partial,353999
6,734,1976,782,2,1,3,428,6992,Edwards,SLvl,Wd Sdng,Detchd,Normal,262888
10,1963,2006,1414,2,3,1,456,17748,CollgCr,2Story,HdBoard,Detchd,Normal,444771
9,1713,2012,686,1,2,3,427,7546,Gilbert,SLvl,Plywood,Detchd,Normal,377886
6,1615,1993,1182,1,2,0,344,9308,BrkSide,1Story,MetalSd,BuiltIn,Normal,327142
3,1942,2017,941,2,1,2,502,14339,NAmes,1.5Fin,VinylSd,None,Normal,305205
3,2249,2008,1043,1,4,0,284,10209,NridgHt,SLvl,HdBoard,None,Normal,341588
10,1956,1969,1165,2,2,2,241,10095,Gilbert,SLvl,BrkFace,CarPort,Normal,482261
10,672,1980,477,1,4,2,578,3703,OldTown,1.5Fin,MetalSd,CarPort,Normal,314341
9,924,2008,1077,2,4,3,561,12225,NAmes,1Story,MetalSd,CarPort,Normal,379250
4,1219,1950,1916,3,5,3,215,9228,Edwards,2Story,BrkFace,Attchd,Normal,306984
10,1512,2016,377,2,1,3,121,11484,BrkSide,SLvl,Wd Sdng,CarPort,Normal,374436
3,1733,1918,977,2,4,1,268,9773,CollgCr,1.5Fin,Wd Sdng,Detchd,Normal,237337
5,1173,1941,1449,3,1,3,427,6998,OldTown,1Story,Plywood,CarPort,Normal,292962
6,1584,1934,1121,1,5,1,658,13459,CollgCr,SFoyer,Plywood,Detchd,Normal,385712
3,1160,1945,1275,3,1,3,423,9839,CollgCr,2Story,MetalSd,BuiltIn,Abnorml,276576
3,1225,1925,50,2,2,2,312,5038,Crawfor,1.5Fin,MetalSd,Attchd,Normal,238051
4,867,2014,1239,1,4,1,477,16217,Sawyer,1.5Fin,Plywood,Attchd,Normal,209438
9,1085,1968,695,3,1,0,429,4728,OldTown,1.5Fin,BrkFace,None,Normal,387498
9,892,1992,1124,1,3,1,201,13499,NridgHt,SLvl,Plywood,BuiltIn,Normal,409779
8,1061,1963,988,1,1,1,202,17573,Sawyer,SFoyer,MetalSd,Detchd,Partial,272963
4,1974,1936,1911,3,4,0,207,5471,OldTown,2Story,HdBoard,BuiltIn,Normal,312249
5,1073,1983,1219,1,5,1,896,8516,CollgCr,1Story,MetalSd,Attchd,Normal,308242
9,2685,1948,955,3,5,2,605,8167,Sawyer,1Story,HdBoard,Detchd,Normal,516354
6,1722,1920,396,2,4,3,343,8334,OldTown,SFoyer,HdBoard,BuiltIn,Normal,317263
10,1583,1973,,1,2,0,649,20508,NridgHt,1.5Fin,MetalSd,Attchd,Normal,407963
4,1114,1963,1329,2,2,3,348,5499,NAmes,1.5Fin,VinylSd,Detchd,Normal,273907
10,1815,1904,968,2,5,2,644,7840,Gilbert,1.5Fin,Plywood,Detchd,Normal,443870
3,1241,1999,798,1,5,0,464,17703,BrkSide,1.5Fin,Wd Sdng,Attchd,Normal,278656
6,1555,1969,771,3,4,3,331,7783,OldTown,1.5Fin,MetalSd,Detchd,Partial,326874
6,2652,1989,1214,1,2,3,572,,NridgHt,SFoyer,HdBoard,Attchd,Normal,491669
3,1457,1903,1304,2,5,2,475,10131,Gilbert,SLvl,MetalSd,CarPort,Normal,243306
4,2017,2002,1544,2,2,3,522,12933,Sawyer,2Story,Plywood,CarPort,Partial,350148
3,1184,1938,602,3,5,2,489,7542,OldTown,1.5Fin,BrkFace,Detchd,Normal,263021
10,1484,2013,1210,1,1,1,487,11550,OldTown,SLvl,HdBoard,Detchd,Normal,471168
8,2297,1934,951,2,3,2,594,4844,Edwards,1Story,Wd Sdng,Attchd,Normal,468859
6,1218,1900,963,2,1,1,915,4967,OldTown,SFoyer,Wd Sdng,Detchd,Normal,248002
7,2316,1923,1161,2,5,0,675,7383,BrkSide,SLvl,Wd Sdng,None,Normal,382777
7,1818,1956,1163,3,3,3,490,11737,Edwards,1.5Fin,BrkFace,CarPort,Normal,434860
10,1247,1999,1212,2,3,2,394,12678,Gilbert,1.5Fin,VinylSd,Detchd,Partial,431149
5,1785,1969,577,2,5,2,414,5287,Sawyer,1.5Fin,HdBoard,Detchd,Abnorml,292741
9,1938,1940,700,1,5,3,224,12469,Sawyer,SLvl,BrkFace,BuiltIn,Normal,454891
3,1780,1953,1594,1,2,3,570,9700,Somerst,1.5Fin,HdBoard,Detchd,Normal,304522
3,793,1945,912,2,5,0,267,6059,Somerst,SLvl,BrkFace,None,Normal,256453
5,1173,1959,1122,2,4,0,383,,Gilbert,1.5Fin,BrkFace,CarPort,Normal,331064
5,1389,2007,1422,1,5,2,571,9981,Crawfor,1Story,VinylSd,BuiltIn,Normal,360838
10,1467,1959,1185,3,4,0,407,16079,NridgHt,1Story,HdBoard,Attchd,Normal,458885
10,1779,1956,1219,3,5,1,361,9145,Crawfor,2Story,BrkFace,Attchd,Normal,449358
5,1580,1930,1358,3,2,0,234,5909,NridgHt,1.5Fin,VinylSd,CarPort,Abnorml,335320
6,899,1983,153,3,4,0,667,3883,Edwards,1.5Fin,MetalSd,Attchd,Normal,302250
10,1671,1923,804,3,1,2,300,17912,Gilbert,SLvl,Plywood,None,Normal,436807
8,1775,1988,1187,3,4,1,345,14383,NridgHt,SLvl,,Detchd,Family,400738
10,1752,1935,1555,3,2,0,127,10310,Somerst,1.5Fin,Wd Sdng,CarPort,Normal,379913
3,1986,1984,1026,3,4,1,446,17502,Somerst,2Story,VinylSd,BuiltIn,Normal,305950
10,1875,1929,662,1,5,1,390,9954,CollgCr,1.5Fin,VinylSd,Detchd,Normal,456865
6,1707,1923,673,3,5,1,483,7087,NridgHt,SLvl,BrkFace,Attchd,Normal,359427
5,1468,2007,1354,3,2,3,239,11554,Gilbert,1.5Fin,VinylSd,Attchd,Abnorml,372893
3,753,2005,913,3,3,3,582,6196,NAmes,SLvl,MetalSd,BuiltIn,Normal,222735
10,1693,1929,997,2,5,3,119,5750,Edwards,1.5Fin,VinylSd,,Normal,380931
6,1593,1985,1246,1,1,3,433,12736,OldTown,SFoyer,Plywood,BuiltIn,Normal,360002
8,1622,1991,0,1,2,2,471,13228,OldTown,SLvl,Plywood,CarPort,Normal,358748
10,925,1906,1800,1,4,0,460,5074,NridgHt,2Story,Wd Sdng,BuiltIn,Normal,367922
6,1014,1934,708,3,4,3,478,5159,Crawfor,SFoyer,MetalSd,Attchd,Normal,323979
8,1974,1954,1097,3,1,2,592,7367,Edwards,1.5Fin,Plywood,None,Normal,494444
5,1482,1991,318,2,5,0,688,6535,Sawyer,SLvl,BrkFace,None,Normal,284354
10,1807,1913,831,1,2,3,422,11152,BrkSide,SFoyer,HdBoard,BuiltIn,Normal,441274
8,1513,2019,1498,3,1,0,276,9197,OldTown,2Story,HdBoard,CarPort,Normal,387582
3,1513,1909,234,1,5,3,551,15202,Somerst,SLvl,HdBoard,Attchd,Normal,255268
5,1922,1979,1450,2,2,2,400,10381,Edwards,SFoyer,BrkFace,Detchd,Abnorml,344660
3,1268,1915,891,2,4,1,678,6734,Crawfor,SFoyer,VinylSd,None,Abnorml,237242
7,1543,1953,1195,2,2,1,342,3843,Gilbert,SFoyer,BrkFace,BuiltIn,Normal,377578
4,1292,1994,1263,1,3,0,296,9757,Crawfor,1Story,VinylSd,CarPort,Partial,284944
10,1304,2005,1177,3,2,2,476,4169,Edwards,1.5Fin,HdBoard,CarPort,Normal,450259
8,1361,1988,654,3,3,1,137,6697,Sawyer,SLvl,Wd Sdng,Attchd,Normal,375146
4,1600,1976,854,2,2,3,366,6504,OldTown,SLvl,Wd Sdng,None,Normal,255874
4,1285,1969,415,3,3,1,391,7159,Somerst,SLvl,VinylSd,Attchd,Normal,275440
8,2065,1943,1197,2,4,0,490,4978,NAmes,SFoyer,HdBoard,Detchd,Normal,385034
5,1097,1972,1681,1,5,0,271,6494,Gilbert,1.5Fin,BrkFace,Detchd,Normal,255756
10,1416,1944,270,2,3,2,292,15073,Somerst,2Story,Wd Sdng,Detchd,Family,356994
7,1302,1999,695,1,3,0,658,15054,Sawyer,SLvl,VinylSd,CarPort,Partial,340899
3,2151,1955,927,2,4,1,448,17937,BrkSide,1.5Fin,BrkFace,None,Normal,302730
6,1588,2006,1069,3,3,1,606,9041,Sawyer,1.5Fin,HdBoard,Attchd,Normal,293146
3,1964,1983,1352,3,1,1,352,10168,Sawyer,1Story,MetalSd,Attchd,Normal,335101
6,831,1981,939,2,4,1,440,15173,OldTown,SLvl,HdBoard,Detchd,Normal,234054
3,1620,2006,874,3,1,2,489,4643,Edwards,SFoyer,HdBoard,None,Normal,298484
8,1900,1956,1441,3,4,3,765,12933,Edwards,1.5Fin,BrkFace,,Normal,452282
7,1537,1920,1265,3,3,3,411,16172,Somerst,1.5Fin,BrkFace,BuiltIn,Normal,410545
10,1979,1967,1216,1,1,2,420,,BrkSide,2Story,Plywood,None,Normal,539094
6,1267,1949,1045,3,3,0,648,16767,BrkSide,1Story,Plywood,None,Normal,253086
10,2134,1932,1393,1,4,3,382,22719,Crawfor,1.5Fin,BrkFace,Attchd,Normal,495968
10,2535,1990,737,2,3,0,501,12772,NAmes,1.5Fin,,None,Normal,473748
10,1337,1906,683,3,1,3,632,11761,Sawyer,SFoyer,MetalSd,,Normal,421861
9,1300,1969,1298,3,1,0,346,5438,NAmes,SFoyer,MetalSd,Attchd,Partial,390728
5,2154,1914,350,3,3,2,511,14561,CollgCr,2Story,HdBoard,None,Normal,323961
3,2211,1981,1037,2,2,1,764,5673,NridgHt,2Story,Wd Sdng,Attchd,Abnorml,309938
10,1265,1931,873,1,4,0,616,10629,Sawyer,2Story,MetalSd,BuiltIn,Family,339104
3,1311,2019,438,1,4,1,501,11125,NAmes,SFoyer,HdBoard,CarPort,Normal,280980
10,1373,1974,627,3,3,0,410,2042,OldTown,SFoyer,VinylSd,Attchd,Normal,404492
6,895,1919,956,2,2,0,341,10803,NridgHt,1Story,Plywood,Attchd,Partial,294457
5,1087,1987,1414,2,1,0,272,29280,BrkSide,SLvl,Wd Sdng,None,Family,276901
5,1048,1914,739,2,5,0,722,3511,Sawyer,SLvl,HdBoard,Attchd,Normal,219976
8,1154,1947,1485,2,5,0,687,8784,Sawyer,1Story,BrkFace,Detchd,Normal,313534
9,1484,1970,1025,2,3,1,332,3747,BrkSide,SLvl,VinylSd,Detchd,Normal,412237
8,1605,1920,1524,1,2,0,511,6019,Crawfor,SFoyer,Plywood,BuiltIn,Normal,343322
8,2198,1941,758,1,2,1,470,3777,OldTown,SLvl,VinylSd,Attchd,Normal,479333
8,1051,1925,980,1,4,2,663,9670,Sawyer,SFoyer,HdBoard,None,Partial,298608
8,1943,2007,1147,3,1,3,519,12863,NAmes,1Story,MetalSd,None,Normal,459198
8,1404,2019,928,2,2,0,446,10822,Sawyer,2Story,Plywood,CarPort,Normal,423370
7,1478,1913,1381,3,5,3,352,5922,NridgHt,1Story,VinylSd,BuiltIn,Normal,398403
5,1804,1956,117,2,1,1,511,6841,Sawyer,SLvl,MetalSd,None,Normal,306544
8,995,1936,1969,1,1,2,387,10173,NAmes,SFoyer,Wd Sdng,CarPort,Normal,343643
10,1672,1957,1343,3,3,2,490,6006,Gilbert,SLvl,HdBoard,None,Abnorml,407293
5,1575,1920,931,1,2,2,436,4949,NridgHt,SLvl,HdBoard,CarPort,Normal,341662
5,1722,1981,779,2,3,3,383,8082,Somerst,2Story,Plywood,Detchd,Normal,400380
4,1630,1968,653,2,2,1,275,5883,Somerst,SLvl,VinylSd,Detchd,Normal,271745
7,2605,1902,1258,2,4,0,543,10831,NridgHt,2Story,Wd Sdng,None,Normal,379038
8,1213,1986,1398,1,3,0,458,16145,OldTown,SFoyer,BrkFace,BuiltIn,Normal,276369
3,1261,1989,935,2,3,1,772,28966,Gilbert,SFoyer,Plywood,Attchd,Normal,218223
6,1220,1936,1443,1,5,3,264,10479,NridgHt,2Story,BrkFace,BuiltIn,Normal,340027
9,1250,1987,637,3,3,0,,12036,NAmes,1Story,,BuiltIn,Normal,416764
10,1213,1948,566,2,2,1,435,6873,CollgCr,SFoyer,VinylSd,Attchd,Normal,403345
3,2035,1918,1725,2,5,0,828,7067,Edwards,1Story,Wd Sdng,Detchd,Normal,319178
7,2139,2014,1236,2,3,2,549,16039,Sawyer,SFoyer,VinylSd,Detchd,Abnorml,421181
6,1243,1988,1559,3,3,0,508,7948,Crawfor,SFoyer,HdBoard,Attchd,Normal,306379
7,1125,1984,658,2,4,3,436,9300,Gilbert,1.5Fin,BrkFace,CarPort,Normal,392603
10,1712,1911,631,1,3,1,323,15605,NAmes,SLvl,MetalSd,BuiltIn,Normal,417261
5,1251,2020,857,1,1,3,506,7975,Crawfor,SLvl,HdBoard,None,Normal,251229
6,1785,1960,670,2,5,1,201,17680,Somerst,1Story,HdBoard,Detchd,Normal,317751
5,1591,1940,1282,2,1,2,209,11647,NridgHt,SLvl,BrkFace,None,Normal,303157
10,818,1932,700,3,5,1,632,11047,Gilbert,1Story,Plywood,Attchd,Normal,331731
3,2196,1949,531,3,4,0,133,6723,BrkSide,SFoyer,HdBoard,None,Normal,306237
10,2308,2016,1057,3,3,0,392,11317,Sawyer,1.5Fin,Wd Sdng,None,Abnorml,480334
3,1224,1967,484,2,3,2,261,7420,Edwards,1.5Fin,HdBoard,BuiltIn,Normal,237800
6,1326,2005,280,3,3,1,378,11117,Somerst,SFoyer,Wd Sdng,Attchd,Normal,350472
6,1629,2020,1053,3,5,2,483,8597,NridgHt,2Story,VinylSd,None,Normal,345654
8,1651,1970,300,1,3,0,627,13906,Sawyer,2Story,Plywood,Detchd,Abnorml,418072
7,1796,1985,1310,3,1,3,669,8872,Somerst,SLvl,Wd Sdng,Attchd,Abnorml,393304
8,2405,2018,442,1,3,2,285,22517,BrkSide,1Story,HdBoard,Detchd,Normal,453467
7,1420,1932,104,1,4,3,366,7950,Crawfor,1.5Fin,Plywood,CarPort,Normal,323298
8,1141,1980,882,3,1,3,1179,7076,Edwards,SLvl,Plywood,None,Normal,377765
5,879,1923,1058,1,3,1,405,10517,Edwards,SFoyer,Wd Sdng,Attchd,Normal,271266
6,1171,1960,1197,2,3,2,291,14618,Sawyer,1.5Fin,Wd Sdng,Detchd,Normal,340904
3,1485,1960,1069,2,2,3,321,14567,NAmes,1Story,MetalSd,None,Normal,264431
7,2308,1997,576,3,5,3,406,9701,Sawyer,1Story,MetalSd,,Normal,393208
10,1267,1927,1285,2,1,1,379,10484,Somerst,2Story,Plywood,Detchd,Abnorml,491361
7,1601,1957,1384,1,2,1,408,10490,NAmes,SLvl,BrkFace,Detchd,Family,356826
3,1493,1942,518,2,4,0,446,5541,Edwards,SFoyer,BrkFace,CarPort,Normal,256077
8,2035,1940,928,3,5,3,445,14269,CollgCr,1.5Fin,MetalSd,BuiltIn,Normal,375838
7,2637,1938,890,3,1,0,278,5110,Edwards,1Story,HdBoard,CarPort,Partial,407639
9,1261,1985,1088,1,3,3,516,5546,Sawyer,1.5Fin,VinylSd,BuiltIn,Normal,408453
5,1280,1948,918,3,1,0,472,9226,Somerst,SFoyer,Plywood,Detchd,Normal,291679
6,1970,1916,973,2,3,1,539,7793,NAmes,1.5Fin,VinylSd,CarPort,Normal,259519
3,1807,1997,1257,3,5,2,141,12878,NridgHt,SLvl,MetalSd,None,Normal,324585
6,2331,1969,554,1,3,1,478,11007,NAmes,2Story,Wd Sdng,BuiltIn,Normal,340224
9,1763,2009,1295,3,4,0,93,9577,BrkSide,1.5Fin,Plywood,Detchd,Normal,439152
7,1338,1969,,2,3,0,418,5423,OldTown,2Story,MetalSd,Attchd,Normal,311288
7,1766,1997,1654,1,4,2,568,9108,OldTown,SFoyer,HdBoard,BuiltIn,Normal,387648
10,1999,1964,143,2,5,3,638,8790,Gilbert,2Story,Plywood,BuiltIn,Normal,442353
9,1869,1973,927,1,5,0,510,9946,Crawfor,1.5Fin,Plywood,None,Normal,377038
3,1728,1984,214,3,1,0,572,7417,Gilbert,1.5Fin,BrkFace,BuiltIn,Partial,232446
10,1980,1904,26,1,4,0,396,11387,Gilbert,1Story,Wd Sdng,BuiltIn,Normal,353642
5,2026,1901,1058,1,4,2,358,7700,NAmes,1.5Fin,Plywood,None,Normal,284069
10,2122,1921,840,3,2,1,935,10917,Somerst,2Story,Wd Sdng,None,Normal,486428
4,1792,2011,1120,2,2,0,599,12877,Gilbert,1Story,MetalSd,CarPort,Normal,268988
3,1425,1956,1194,3,2,2,239,7076,Sawyer,1.5Fin,HdBoard,Detchd,Normal,271411
4,1566,1965,1499,1,3,0,138,6358,NAmes,1.5Fin,HdBoard,Detchd,Normal,325516
9,2043,1973,1022,3,2,3,366,11152,Somerst,SFoyer,Plywood,CarPort,Normal,444722
8,1132,1997,2169,1,4,2,665,4967,OldTown,1Story,Plywood,Detchd,Normal,381184
4,1666,1915,1123,3,3,0,459,14842,CollgCr,SFoyer,MetalSd,BuiltIn,Normal,288923
5,1323,2011,1737,3,5,2,50,9045,Sawyer,SFoyer,BrkFace,CarPort,Normal,385898
10,1513,1950,67,2,1,0,418,8547,NridgHt,SFoyer,BrkFace,CarPort,Normal,332394
8,2075,1938,1540,1,2,1,450,11507,Crawfor,SLvl,BrkFace,Detchd,Normal,426770
10,1586,1985,928,2,5,0,15,11190,NridgHt,SFoyer,Wd Sdng,Attchd,Normal,357043
4,1521,1975,221,1,4,2,454,9026,Somerst,2Story,BrkFace,Detchd,Normal,263798
10,888,1987,1168,3,1,3,268,13365,BrkSide,1.5Fin,HdBoard,Attchd,Normal,411427
9,1836,2010,879,1,5,3,120,6650,Somerst,SLvl,Wd Sdng,CarPort,Normal,425053
8,1790,1939,1232,2,1,3,739,12401,CollgCr,SFoyer,MetalSd,Attchd,Normal,408125
9,2473,1937,1404,2,2,0,260,5539,OldTown,1.5Fin,HdBoard,BuiltIn,Normal,417577
4,1361,1959,404,2,4,1,330,11325,Edwards,1Story,HdBoard,None,Normal,258663
9,1599,1958,1406,1,1,0,327,7765,Somerst,1Story,VinylSd,Attchd,Normal,443584
5,1612,1909,1003,2,5,3,450,4989,OldTown,1.5Fin,MetalSd,None,Normal,290855
4,2210,1998,1541,2,2,2,768,10102,NridgHt,2Story,MetalSd,BuiltIn,Family,359391
4,1457,1963,918,2,2,3,235,8862,Somerst,1.5Fin,VinylSd,None,Normal,323744
4,1626,2014,812,3,5,2,395,4495,Somerst,1.5Fin,Wd Sdng,BuiltIn,Normal,358293
3,1774,1962,1011,3,5,1,472,3477,Gilbert,SLvl,BrkFace,None,Normal,234673
10,1584,1948,1041,1,1,2,294,8404,NridgHt,1Story,BrkFace,None,Normal,430328
3,1299,1963,735,1,3,0,392,18642,Crawfor,1Story,BrkFace,Detchd,Normal,239810
3,1587,1931,801,2,2,0,557,10399,Crawfor,SFoyer,BrkFace,Attchd,Normal,242238
5,1983,1906,509,3,1,0,314,6662,Sawyer,1.5Fin,BrkFace,None,Normal,216352
8,1038,1920,826,2,5,2,389,14645,BrkSide,1.5Fin,VinylSd,CarPort,Partial,354298
10,1560,1919,1271,2,1,0,372,13538,Edwards,2Story,MetalSd,Detchd,Normal,464412
9,1185,1925,945,3,5,0,431,15950,Somerst,1Story,Wd Sdng,Attchd,Normal,355283
7,2038,1967,1404,3,4,0,494,12243,Somerst,2Story,HdBoard,Detchd,Normal,361651
4,815,2009,926,3,5,1,556,13408,Sawyer,SLvl,BrkFace,Attchd,Normal,227826
9,1248,2015,427,1,5,2,799,12506,BrkSide,SFoyer,VinylSd,BuiltIn,Normal,446242
4,1670,1985,,1,5,2,0,7260,NridgHt,2Story,Wd Sdng,None,Partial,358714
5,2204,1914,731,2,3,3,420,4308,Somerst,1Story,Wd Sdng,CarPort,Abnorml,387786
4,1470,2019,907,1,5,2,204,7119,OldTown,SLvl,Wd Sdng,Detchd,Normal,321219
3,1250,2003,1495,3,2,1,,14797,NAmes,1.5Fin,VinylSd,Detchd,Normal,251685
10,2347,1984,536,3,2,2,609,7582,BrkSide,SLvl,HdBoard,Detchd,Normal,477765
7,848,1978,1066,1,1,1,666,8430,Somerst,2Story,BrkFace,Detchd,Normal,308683
6,511,1985,984,2,3,1,674,5326,BrkSide,1Story,Wd Sdng,None,Normal,282250
4,1698,2015,1280,2,1,2,672,7023,Crawfor,2Story,VinylSd,Attchd,Normal,390712
9,1274,1991,1342,1,2,3,419,8963,Edwards,1.5Fin,MetalSd,None,Normal,463412
3,1040,1913,1106,2,2,0,702,11233,Somerst,1.5Fin,VinylSd,BuiltIn,Normal,161282
